Hand_ID,Player,Series_Season,Episode,Episode_Timestamp,Tournament_Year,Tournament,Stage,Players_Remaining,Paid_Places,Blinds,Effective_Stack_bb,Hero_Position,Villain_Position,Hero_Hand,Villain_Hand,Preflop_Action,Flop,Flop_Action,Turn,Turn_Action,River,River_Action,Outcome,Spot_Type,Opponent_Type,Pressure_Type,Live_Read_or_Exploit,Key_Lesson,Graphic_Recreation_Status,Confidence,Source_Type,Primary_Source_URL,Secondary_Source_URL,Source_Notes
AM-001,Adrián Mateos,Inside the Mind of a Pro — 2024 WSOP,EP03,,2024,WSOP Main Event,Day 1,,,,200+,Unknown/OOP,Button,T9s,Unknown,Mateos opens; button calls.,Second-pair texture; exact board not preserved in text recap,"Mateos checks; villain bets 1,500 into 4,100; Mateos calls.",A (suit unknown),Check-check.,Unknown,Check-check.,Mateos wins at showdown.,Second pair OOP / pot control,Unknown opponent,Normal chip EV,No major live read; structural decision based on position and hand strength.,Deep stacks do not require bloating marginal one-pair pots.,Partial — cards/board need video verification,High,Full written episode recap,https://www.gipsyteam.com/news/06-03-2025/inside-the-mind-of-a-pro-adrian-mateos-on-day-1-of-the-2024-wsop-main-event,https://www.youtube.com/watch?v=LOzYpTgw6n0,Street-by-street action verified from recap; exact flop and river cards were image-only in source.
AM-002,Adrián Mateos,Inside the Mind of a Pro — 2024 WSOP,EP03,,2024,WSOP Main Event,Day 1,,,,200+,Big blind,Small blind,Unknown,Unknown,Small blind professional limps with 33bb; Mateos checks back from BB.,Unknown,"Villain checks; Mateos bets 600 into 1,800; villain calls.",Unknown,"Mateos bets 2,200 into 3,000; villain calls.",Unknown,"Mateos bets 5,400 into 7,400; villain folds reluctantly.",Mateos wins without showdown.,Blind-vs-blind thin value,Professional / limited read,Normal chip EV,Mateos expects low check-raise frequency and few induced river bluffs.,"Against passive lines, keep betting strong one-pair hands for value instead of waiting for bluffs that may never come.",Partial — hero hand and board need video verification,High,Full written episode recap,https://www.gipsyteam.com/news/06-03-2025/inside-the-mind-of-a-pro-adrian-mateos-on-day-1-of-the-2024-wsop-main-event,https://www.youtube.com/watch?v=LOzYpTgw6n0,Action and reasoning verified; cards were displayed as images in the article and not available in parsed text.
AM-003,Adrián Mateos,Inside the Mind of a Pro — 2024 WSOP,EP03,,2024,WSOP Main Event,Day 1,,,,150+,Early position / in position postflop,Small blind,AJs,Unknown,"Mateos opens; button calls; small blind squeezes to 7,000; Mateos calls; button folds.",Narrow-range board; exact cards not preserved in text recap,"Villain bets 5,100 into 16,500; Mateos calls with only a gutshot and deep implied odds.",Bad card for Mateos; exact rank unknown,Villain checks; Mateos declines to force a bluff and checks back.,Flush-completing card; exact rank unknown,"Villain bets 11,200 into 26,700; Mateos folds.",Mateos loses the pot but avoids a low-EV bluff and river call.,Squeezed pot / avoid punt,Unknown deep-stacked opponent,Normal chip EV,Mateos notes Main Event players often arrive at rivers with stronger ranges than theory after checking turn.,Not every missed draw should become a bluff; population tendencies can make disciplined give-ups more profitable.,Partial — board needs video verification,High,Full written episode recap,https://www.gipsyteam.com/news/06-03-2025/inside-the-mind-of-a-pro-adrian-mateos-on-day-1-of-the-2024-wsop-main-event,https://www.youtube.com/watch?v=LOzYpTgw6n0,Hero hand and full action verified; exact board cards were image-only.
AM-004,Adrián Mateos,Inside the Mind of a Pro — 2024 WSOP,EP03,,2024,WSOP Main Event,Day 1,,,,200+,Big blind,Hijack,Unknown,Unknown,Early-position limp; hijack amateur makes a small raise; Mateos calls BB.,Second-pair texture; exact board not preserved in text recap,"Mateos and limper check; hijack bets 2,000 into 5,400; Mateos calls; limper quickly calls.",Unknown,"Hijack quickly bets 6,500 into 11,400; Mateos folds; limper folds.",,,Mateos folds turn.,Multiway second pair / update read,Amateur-looking opponent,Normal chip EV,"Small preflop sizing suggested weakness, but a fast confident turn barrel into two flop callers reversed the read.",Initial tells are provisional. New information must override the first read.,Partial — hero hand and board need video verification,High,Full written episode recap,https://www.gipsyteam.com/news/06-03-2025/inside-the-mind-of-a-pro-adrian-mateos-on-day-1-of-the-2024-wsop-main-event,https://www.youtube.com/watch?v=LOzYpTgw6n0,Action and exploit logic verified; exact cards were image-only.
AM-005,Adrián Mateos,Inside the Mind of a Pro — 2024 WSOP,EP03,,2024,WSOP Main Event,Day 1,,,,200+,Unknown,Big blind,Unknown (two pair by river),Unknown,Mateos opens wider than theory because of a favorable table; BB calls.,Unknown,"Mateos c-bets 1,000 into 3,500; BB calls.",Good protection/value card; exact rank unknown,"Mateos bets 3,200 into 5,500; BB calls.",Blank river,"Mateos value-bets 8,200 into 11,900; BB tanks and calls.",Mateos wins a three-street value pot with two pair.,Thin value / soft-field exploit,Unknown likely weaker opponent,Normal chip EV,Opponent posture showed hesitation and made a raise look unlikely; Mateos expected under-defending and under-calling tendencies.,"When live populations under-defend and under-call, widen value ranges and keep betting.",Partial — hero hand and board need video verification,High,Full written episode recap,https://www.gipsyteam.com/news/06-03-2025/inside-the-mind-of-a-pro-adrian-mateos-on-day-1-of-the-2024-wsop-main-event,https://www.youtube.com/watch?v=LOzYpTgw6n0,Three-street sizing and reasoning verified; exact cards were image-only.
AM-006,Adrián Mateos,Inside the Mind of a Pro — 2024 WSOP,EP14,,2024,WSOP Main Event,Day 5,,,,Deep,Unknown,Will Berry,K♠K♥,A♠A♣,Four-bet pot before the flop; exact preflop sizings not stated in the summary article.,Q♦ 4♦ 2♣,"Berry bets 425,000 into 1,360,000; Mateos calls.",10♠,"Berry bets 1,300,000 into 2,210,000; Mateos tanks just over a minute and folds.",,,Mateos correctly folds kings to aces.,Hero fold / overpair in four-bet pot,Strong opponent,Deep-run chip EV,No physical tell required; line and range strength drive an elite fold.,Even premium overpairs are not automatic stack-offs in deep four-bet pots.,Complete enough for graphic recreation,High,Independent hand report,https://www.pokernews.com/news/2024/07/mateos-kings-fold-wsop-main-event-46510.htm,https://www.youtube.com/watch?v=GhzqcTPZP-A,"Exact flop, turn, hands and postflop sizings verified. Episode 14 stage match is direct."
AM-007,Adrián Mateos,Inside the Mind of a Pro — 2024 WSOP,EP14,,2024,WSOP Main Event,Day 5,,,,Deep,Unknown,Adrian Garcia,A♥A♣,A♠K♠,"Mateos opens to 60,000; Lingkun Lu calls SB with 5♥4♥; Garcia 3-bets BB to 325,000; Mateos 4-bets to 750,000; Lu folds; Garcia jams 2,925,000; Mateos snap-calls.",10♠ 9♥ 8♦,All chips already in preflop.,9♠,Garcia gains a flush draw.,3♠,Garcia completes runner-runner flush.,Mateos loses a roughly six-million-chip pot and is left short.,Preflop all-in / tournament-defining variance,Strong opponent,Deep run,None — standard premium-hand preflop decision.,Correct decisions can still end in brutal variance; separate process from outcome.,Complete enough for graphic recreation,High,Independent hand report,https://www.pokernews.com/news/2024/07/mateos-kings-fold-wsop-main-event-46510.htm,https://www.youtube.com/watch?v=GhzqcTPZP-A,"Exact hands, preflop sizings and board verified."
LM-001,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP11,,2025,WSOP Main Event,Bubble,1476,1465,"4,000/8,000",~48,,,,,Stage strategy example rather than a single hand.,,,,,,,"Margets enters the direct bubble with 383,000 chips and a playable stack.",Bubble navigation,Mixed field,Bubble,Field-wide fear is itself exploitable information.,"A comfortable stack should pressure selectively, not become reckless simply because shorter stacks are scared.",Stage graphic ready; hand-level extraction pending,High,Episode description / bubble recap,https://pokerfuse.com/the-rail/2026/14/?post=4389,https://www.youtube.com/watch?v=mi0LXjq4dCg,Useful strategic stage example; not a single hand.
LM-002,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP19–EP21 range; timestamp pending,,2025,WSOP Main Event,Day 7 / last 57 to last 32,,,,Medium stack,Middle position,Michael Mizrachi / Arai,99 (suits not verified),Unknown,Margets raises middle position; Mizrachi calls in position; Arai calls BB.,Exact flop not preserved in text recap,Arai checks; Margets checks; Mizrachi overbets around 3x pot.,,,,Arai eventually folds; Margets folds quickly.,Margets releases pocket nines to massive flop pressure.,One-pair discipline / huge overbet,Elite pro,Deep-run pay-jump pressure,A giant overbet from an elite player into a multiway configuration announces extreme strength.,One pair loses value fast when a strong line is taken in a highly constrained multiway pot.,Partial — exact flop and episode timestamp need verification,High,Independent Day 7 recap,https://www.gipsyteam.com/news/13-07-2025/main-event-day-7-recap,https://www.youtube.com/playlist?list=PLuf_yjeun6pJFfxalflKHhbxkJFbxeQr3,Hand verified from Day 7 recap; exact series episode within EP19–EP21 still needs timestamp verification.
LM-003,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP22–EP24 range; timestamp pending,,2025,WSOP Main Event,Day 8 / last 20,,,"400,000/800,000",,Hijack,Big blind,AJo,KJs,Margets opens from hijack; Chris Dombrowski jams about 10bb from BB; Margets calls.,Ace-high flop,Dombrowski is dominated and behind.,,,,,Margets eliminates Dombrowski in 20th place.,Short-stack call-off / dominated ace,Short stack,Two-table / major pay jumps,Standard range pressure against a short-stack reshove.,Do not overfold strong offsuit aces against correctly wide short-stack jams.,Partial — suits and full board need video verification,High,Independent Day 8 recap,https://www.gipsyteam.com/news/14-07-2025/main-event-day-8-recap,,Exact ranks verified; suits/full board not captured in parsed recap.
LM-004,Leo Margets,Inside the Mind of a Pro — 2025 WSOP,EP22–EP24 range; timestamp pending,,2025,WSOP Main Event,Day 8 / last 20,,,"400,000/800,000",,Cutoff,Diego Ponce,QQ,JJ,"Margets raises to 1,600,000 from cutoff; Ponce jams 11,200,000; Margets calls.",Low/no-help board,All-in preflop.,,,,,Margets eliminates Ponce in 19th place.,Premium pair vs short-stack jam,Short stack,Two-table / major pay jumps,No special read required.,"When stack geometry is clear, premium hands should not become victims of excessive ICM fear.",Partial — suits and board need video verification,High,Independent Day 8 recap,https://www.gipsyteam.com/news/14-07-2025/main-event-day-8-recap,,Exact ranks and sizing verified; suits/full board not captured in parsed recap.
